date	LDAw	TOTw	LDAv
20110807	0.0518018018018018	0.0022522522522522522	0.0021298583072913418
20110808	0.20369197052342908	0.22889279459907733	0.3707543719055435
20110809	0.13416982445501613	0.18610392005389248	0.0666941248335233
20110810	0.18975214874548263	0.18398091971586145	0.1865661226014347
20110811	0.099983822468804	0.06907821318229884	0.046254074637039136
20110812	0.10291565292770158	0.14169234478978318	0.05859460880761553
20110813	0.053469464927207416	0.04647381357534506	0.015410492447687996
20110814	0.01502919522721503	0.03483117542523483	0.015418590183248622
20110815	0.20413976942626053	0.29401274199534044	0.11075267004221497
20110816	0.11844129293416382	0.19413466686179126	0.09297656834339348
20110817	0.13105952102242718	0.09693957407724409	0.08026748270856135
20110818	0.19206584782152147	0.1438061470865095	0.050793495362671304
20110819	0.24647207026253992	0.4452348651701863	0.29404296637569277
20110820	0.014814814814814815	0.003703703703703704	0.0038085281455628667
20110821	0.16760122847289918	0.05573629760070438	0.018790628663186412
20110822	0.13262503865018765	0.07520820455441815	0.04200392042072561
20110823	0.1364372936552824	0.3377446767770413	0.14909351804181847
20110824	0.3628395928945064	0.11686129482272176	0.10152947204557211
20110825	0.21855403315986668	0.2662127405541563	0.5742930506805826
20110826	0.5500358927762936	0.6681472467375809	0.7154310790299703
20110827	0.015707597717199547	0.02711101402326311	0.022696708084435715
20110828	0.07894736842105263	0.14114832535885166	0.042373203566988336
20110829	0.1695282016612	0.28870346534884656	0.09744303250714705
20110830	0.16212516249571138	0.5056763388611591	0.13028710081058165
20110831	0.1274542699164931	0.257444960803052	0.08723120935907965
20110901	0.1476528115769978	0.18424347332885135	0.037382370642219324
20110902	0.052460161667187546	0.21245938534572434	0.21638855517303465
20110903	0.1727877856910115	0.012242238048689662	0.006614807055610897
20110904	0.014817542344904644	0.0653584397775464	0.021125823456675533
20110905	0.03324199412440473	0.06261350691522481	0.02083914071614219
20110906	0.21223693788124035	0.12801483650296147	0.06115351557739458
20110907	0.1313886660790903	0.1768026826779918	0.11367313539849196
20110908	0.17659491387006276	0.16602399004276813	0.06867432635873127
20110909	0.10602466874154193	0.16107837916680498	0.09471008433971807
20110910	0.11040481766477082	0.06741385078621612	0.04173206496437028
20110911	0.10472100054975261	0.036014808960967565	0.029243777201675
20110912	0.3310562111576335	0.1492778741754294	0.09430735495070691
