date	LDA	TOT	COT
20110101	0.20350189856270398	0.0962251632840932	0.10612080103217617
20110102	0.06544147382330609	0.029187881961211526	0.03663187163101545
20110103	0.3494340974692636	0.05405271581745015	0.06693837562571299
20110104	0.377090033678636	0.07348568759495666	0.08433010906304272
20110105	0.2723321593504286	0.10194140027165718	0.12430548871126947
20110106	0.1887912760994831	0.12030413867097677	0.13979886238661293
20110107	0.1451182598886387	0.105716347733981	0.11627383813532913
20110108	0.32541338105314843	0.16027378740879572	0.15997686231083055
20110109	0.05077810221538206	0.02992071975071264	0.034334606002246165
20110110	0.17294942020410187	0.032557432178394026	0.03891165377090173
20110111	0.20217708503132825	0.08919141282313173	0.10039648003277345
20110112	0.17412210719250124	0.09421174443534638	0.10585167183112801
20110113	0.2350333898426307	0.14056298014396806	0.11689398458084198
20110114	0.3328445593257126	0.12276926738623721	0.11596485829136707
20110115	0.22539810382583927	0.12900161450114248	0.15220542658518973
20110116	0.10426806760904882	0.04022410253472733	0.04723924880447369
20110117	0.11812153745241352	0.036866701963436936	0.03798747248915922
20110118	0.2527147101075991	0.07728118463360872	0.0831846717902131
20110119	0.2779383875299249	0.10771883918789862	0.10764869140041229
20110120	0.16984092452956112	0.10622215717657164	0.10832137608616824
20110121	0.1835558902579747	0.07970179607319115	0.08201251603509985
20110122	0.16820375680227556	0.14133639667555614	0.1404908946523499
20110123	0.097495001834003	0.031345162442113855	0.03932415895978881
20110124	0.09045070192390695	0.04509617327476213	0.0510267861641963
20110125	0.13157686347028552	0.10132911878411395	0.0780751871418326
20110126	0.17089745591287905	0.13540157171502046	0.13622549821220833
20110127	0.15546575926345985	0.09060267332974656	0.1012787600879342
20110128	0.2838757407084504	0.15048111523020344	0.1281024022509275
20110129	0.2989651076572602	0.17995780616475804	0.18865286376986787
20110130	0.08838727393270436	0.049651191564849914	0.040453436768783706
20110131	0.1467888453776107	0.04188078311443088	0.043812701202915576
20110201	0.3075372516645696	0.18724801504062424	0.1331238426565158
20110202	0.13660442804032058	0.10976798233462541	0.10525997176774694
20110203	0.19546703587168518	0.10706662997011196	0.08698318330312155
20110204	0.15364979100279233	0.12237659518678289	0.11827581927093105
20110205	0.251655276599182	0.1714601981668089	0.12828411110936103
20110206	0.08785579283152438	0.05264081776718377	0.03364056552335786
20110207	0.11195795582375846	0.07320552714119319	0.04310643022264866
20110208	0.15386519839308577	0.111379394683506	0.09783717375006742
20110209	0.20600418291924935	0.16443113190073186	0.12676841203895858
20110210	0.21632504955742848	0.19341402600940114	0.1153825777646844
20110211	0.29850842918235476	0.2608025079781113	0.17559578933592232
20110212	0.10158770532827334	0.11889151817492458	0.0950592054207012
20110213	0.12178548733288448	0.08197717770265	0.0505348178091201
20110214	0.09904124210466299	0.0479337452938837	0.041330903053904224
20110215	0.20982238398681985	0.17676402131787647	0.10964777160428703
20110216	0.08094016405306786	0.07917292480118673	0.05259764672887462
20110217	0.16091617228940774	0.11790331891608706	0.10368469628165403
20110218	0.30408020414700315	0.21352681711556346	0.10467719723159892
20110219	0.29456479992794343	0.2579305552046628	0.11694559997740603
20110220	0.12627413196832066	0.0948333058880486	0.05196347683921256
20110221	0.07192150356433749	0.10639044556792276	0.05954821105869533
20110222	0.40842782617823353	0.3809354366229114	0.13365435015520064
20110223	0.20162136748518458	0.25726544961033637	0.06316285665584706
20110224	0.12791702358728524	0.1384643698610727	0.09659389077110778
20110225	0.26788406695965244	0.46064286965731294	0.11961206545486748
20110226	0.44265935970739584	0.48638544078528895	0.15376077591191462
20110227	0.2363391926218855	0.1815208644843777	0.043507416521414724
20110228	0.11758081517891524	0.09600207193458526	0.08349498048067919
20110301	0.765472181873182	0.7370037048424363	0.9720802622690582
20110302	0.28525743088661937	0.30188084115969743	0.1252704855269289
20110303	0.3215557648917642	0.40960594949981116	0.17696039198869226
20110304	0.13234698768797634	0.13174006998357043	0.07258586183720704
20110305	0.3574376258322818	0.3134808028134242	0.14123810474290024
20110306	0.04172459867567579	0.04071097269636378	0.03177775077558108
20110307	0.2337724505027798	0.281046303222099	0.11215633536273972
20110308	0.20489802229472445	0.19117166394130372	0.13716628200617864
20110309	0.22306735407147588	0.36676462287920125	0.2280867270404627
20110310	0.17379499749326752	0.2471226972509337	0.1258557044358003
20110311	0.36017821020682456	0.41710936866534354	0.11278787931343262
20110312	2.049510857104556	2.6124574906350144	3.668132382907898
20110313	1.7115205092633574	2.217935235341167	1.262605248044557
20110314	3.737084258264471	4.394860017072099	2.6148621527697062
20110315	1.779711240838405	2.3406838741540734	3.896997855085883
20110316	3.2680311008500134	3.7874376955832676	3.2740560722188667
20110317	1.4502871404279998	1.8403871554313445	2.8681728222963603
20110318	2.682593156767837	2.9863962148750085	5.185718622585871
20110319	2.1298590506889825	2.5901910797359804	3.2181047018853737
20110320	2.254243941803924	2.8531367288206315	3.9305534830590325
20110321	1.018182034436433	1.149327583817575	1.9498967809013774
20110322	2.1309145945814287	2.4613781548980316	3.6878770634213094
20110323	1.3150563042229515	1.7709265092274995	3.2161055126328972
20110324	1.5441255313012217	2.016567226062104	2.7437237878844924
20110325	1.6332051505496425	2.312852293202829	2.6381813587805634
20110326	1.1648511371996335	1.702365188464252	2.2119997004809284
20110327	1.3403525855784235	1.5155290130023713	1.892576786477169
20110328	1.3253939432830204	1.6794772385156331	2.8553243494063594
20110329	1.4979766238509635	1.8407635664612083	2.692240539032539
20110330	1.0826125328206018	1.509072100792248	1.8923136917776284
20110331	1.2412370681546876	1.5565628263124065	1.8996682675927077
