date	LDAv	TOT
20110807	0.0021298583072913418	0.005128205128205128
20110808	0.3707543719055435	0.3113593669302701
20110809	0.0666941248335233	0.27005008984777856
20110810	0.1865661226014347	0.23601902592592494
20110811	0.046254074637039136	0.1303284732876484
20110812	0.05859460880761553	0.1943970773212658
20110813	0.015410492447687996	0.023384615384615386
20110814	0.015418590183248622	0.02507351803126451
20110815	0.11075267004221497	0.41572138700349487
20110816	0.09297656834339348	0.19970811925453774
20110817	0.08026748270856135	0.19210542700423533
20110818	0.050793495362671304	0.22097064643839678
20110819	0.29404296637569277	0.402236748693968
20110820	0.0038085281455628667	0.007407407407407408
20110821	0.018790628663186412	0.047137394514767936
20110822	0.04200392042072561	0.09384911130810075
20110823	0.14909351804181847	0.3391109160123149
20110824	0.10152947204557211	0.1911351437421392
20110825	0.5742930506805826	0.33267417307303343
20110826	0.7154310790299703	0.8079687481515545
20110827	0.022696708084435715	0.02925935425328187
20110828	0.042373203566988336	0.17164179104477612
20110829	0.09744303250714705	0.4349843080374888
20110830	0.13028710081058165	0.5104931861290118
20110831	0.08723120935907965	0.2325070822610258
20110901	0.037382370642219324	0.142293505693234
20110902	0.21638855517303465	0.2491326206596084
20110903	0.006614807055610897	0.05415545224696191
20110904	0.021125823456675533	0.027700574393181396
20110905	0.02083914071614219	0.09302445395358605
20110906	0.06115351557739458	0.1099877868384268
20110907	0.11367313539849196	0.19706352128883267
20110908	0.06867432635873127	0.15892042672424314
20110909	0.09471008433971807	0.11919159708817952
20110910	0.04173206496437028	0.06738044794188862
20110911	0.029243777201675	0.041930314309346566
20110912	0.09430735495070691	0.24673347725633485
20110913	0.14074557763137605	0.23864171521149014
20110914	0.07368867633481244	0.18100507232302152
20110915	0.27643361769908853	0.3010077512374332
20110916	0.04351274888063356	0.10585399361703476
20110917	0.012582353742103564	0.07818654775176515
20110918	0.1641536665789629	0.1505959691307275
20110919	0.05877231930877348	0.11518874586002455
20110920	0.0837579734278492	0.17110980262120995
20110921	0.25770649610580765	0.4626419991727885
20110922	0.11686070947388945	0.3509516144386023
20110923	0.3609386797139283	0.3054410419627428
20110924	0.00966103502887038	0.018108974358974357
20110925	0.017599208538389286	0.025726010101010104
20110926	0.2786590102121732	0.3855727177603699
20110927	0.08025449775538042	0.1834466108876787
20110928	0.08670775350917062	0.17247004730681942
20110929	0.26797467482359527	0.40668145742947526
20110930	0.03449081472742849	0.08225692542490562
20111001	0.0633150500087275	0.1018896447467876
20111002	0.010622972287421956	0.018983050847457626
20111003	0.371380959729418	0.32022716419100206
20111004	2.341715400755671	1.4998952420793135
20111005	1.6985926698752087	0.5990162588710695
20111006	1.9338394721908756	0.34874041509691633
20111007	0.055443205328966495	0.14085645178277603
20111008	0.001738226283917885	0.008547008547008548
20111009	0.022976395761027703	0.07968365712222748
20111010	0.9574616653998378	0.2352181805872926
20111011	0.7624829915285928	0.6432905773627133
20111012	0.4761644601925701	0.3934038534842671
20111013	0.15238564624347514	0.23164346386894455
20111014	0.9653742845104807	0.38047872039184744
20111015	0.4478339974137097	0.17350043731621023
20111016	0.25900303645317024	0.10356221792392005
20111017	0.2256227171097017	0.361842290482182
20111018	1.7835629377842543	0.794273131900391
20111019	0.5877775704313718	0.1251386034467755
20111020	0.5344041967673733	0.29531088560031166
20111021	0.21657762581569637	0.2444493157239024
20111022	2.4390326977826033	0.34776900388249854
20111023	0.8957107291144537	0.10025973042556414
20111024	0.7139643305475265	0.4132733030132127
20111025	0.06445244793166123	0.18180128976330956
20111026	1.0525047313008205	0.2924411839079912
20111027	0.6158204406792842	0.4120560397823227
20111028	1.0057961744470354	0.4041623609016142
20111029	0.03115004836131288	0.08959637683041938
20111030	0.04878965339516586	0.07401783071476777
20111031	0.11103751329492481	0.21324560881003252
20111101	0.27898291587031326	0.2996777178801291
20111102	0.07918463447134737	0.22914997804117415
20111103	0.027989334204830737	0.16824851689135414
20111104	0.11139886813420129	0.24036787562420647
20111105	0.024784040318592417	0.04568539994052929
20111106	0.06083952531301998	0.10177661896677176
20111107	0.08410053694763461	0.14473402923430082
20111108	0.20634851128959683	0.3179853376980313
20111109	0.07958092327946824	0.19379206505396984
20111110	0.11617492023539953	0.3069709130759682
20111111	0.05131611127791083	0.15864407637150224
20111112	0.021189858947634116	0.05244413015379428
20111113	0.007863900328289845	0.029018492176386912
20111114	0.06258131119042003	0.16185527275728198
20111115	0.10444428436655259	0.22320537561577156
20111116	0.20587984124713785	0.22293754404351826
20111117	0.05387490515654264	0.15996965199859725
20111118	0.19688327281518703	0.40177926006144093
20111119	0.005865027037277261	0.015869565217391305
20111120	0.010982195633594354	0.05118927535709782
20111121	0.11450728342191749	0.25588864864374083
20111122	0.06575936915488617	0.18284257395771664
20111123	0.05307185105063798	0.1993176790764109
20111124	0.061546953771263985	0.05427061677061677
20111125	0.013569387702358713	0.17970081688783487
20111126	0.004871781311601585	0.02751298147717585
20111127	0.011722134780663397	0.027556099309022718
20111128	0.09118685467052061	0.2759683142084027
20111129	0.17532022270436504	0.19440537210390108
20111130	0.07829581083696704	0.18590275558536207
20111201	0.05589381802809089	0.12683300428162658
20111202	0.1462326620229426	0.32983719797713623
20111203	0.0454052536651519	0.054480741639995584
20111204	0.1337734973836533	0.0337041930178127
20111205	0.197352552401105	0.252585402683723
20111206	0.1576318190761155	0.13751856731325424
20111207	0.08573400301944849	0.20217564642989663
20111208	0.17922400514499223	0.22337254014579194
20111209	0.2934218963621893	0.22170077609512126
20111210	0.12050309110963872	0.1075354856119905
20111211	0.010373304256283316	0.030524789029535863
