date	Latent Dirichlet Allocation	Topic Over Time	Concept Over Time
20110807	0.0022522522522522522	0.0022522522522522522	0.0034969682554192214
20110808	0.3524255581318408	0.22889279459907733	0.204644715387803
20110809	0.20734419607490717	0.18610392005389248	0.2792555258187975
20110810	0.23951306546530252	0.18398091971586145	0.14128816346936982
20110811	0.08058970893292504	0.06907821318229884	0.07153400818044514
20110812	0.12699856894584466	0.14169234478978318	0.1494899023514424
20110813	0.012781244091510683	0.04647381357534506	0.02045229771354839
20110814	0.01502919522721503	0.03483117542523483	0.032153132622342456
20110815	0.3616768582073175	0.29401274199534044	0.28636205804473286
20110816	0.12670309262924778	0.19413466686179126	0.22019305542292625
20110817	0.08900421380337198	0.09693957407724409	0.1289265158787859
20110818	0.13399765372767689	0.1438061470865095	0.13120290539818757
20110819	0.2140764335870731	0.4452348651701863	0.1074267975011298
20110820	0.014814814814814815	0.003703703703703704	0.006222413247458451
20110821	0.0347097051455405	0.05573629760070438	0.0284485391043055
20110822	0.06988655957554869	0.07520820455441815	0.0987617456403009
20110823	0.2555356956406018	0.3377446767770413	0.37315681353257246
20110824	0.10050980948460204	0.11686129482272176	0.09913177383778637
20110825	0.19332830525939104	0.2662127405541563	0.16377019538888088
20110826	0.3864115773854805	0.6681472467375809	0.2761157778037015
20110827	0.013895154992426103	0.02711101402326311	0.0215063735225463
20110828	0.10047846889952153	0.14114832535885166	0.047839296053272036
20110829	0.22251717132196472	0.28870346534884656	0.2107629438753567
20110830	0.4724100396674923	0.5056763388611591	0.19884410329894775
20110831	0.19571332089089138	0.257444960803052	0.12068646547376757
20110901	0.15983553055678104	0.18424347332885135	0.1424297110967767
20110902	0.14333625149154383	0.21245938534572434	0.2748116519635333
20110903	0.007913233719685333	0.012242238048689662	0.01069022207357647
20110904	0.060641458645470936	0.0653584397775464	0.06585165916478533
20110905	0.04407579309379692	0.06261350691522481	0.06889156598896799
20110906	0.06523403938574668	0.12801483650296147	0.06333205356342081
20110907	0.1623994354741937	0.1768026826779918	0.1623625642556939
20110908	0.10582123488087485	0.16602399004276813	0.09422492516661979
20110909	0.22510789301339704	0.16107837916680498	0.15263948373112457
20110910	0.03680160588825694	0.06741385078621612	0.04729608830948051
20110911	0.024250103078614624	0.036014808960967565	0.06662733495685158
20110912	0.14580811134349753	0.1492778741754294	0.24275204075486856
20110913	0.23144491040726062	0.1892412245008051	0.14700439165121815
20110914	0.15467974833858894	0.1392270424815544	0.17550366061021033
20110915	0.24757947325506038	0.26293025721811353	0.40248404529264353
20110916	0.08645451492706294	0.09542271451838415	0.06748958714433749
20110917	0.04621618933969769	0.024736475735879077	0.03887343141559206
20110918	0.08234231509832289	0.16287922785000075	0.09542556055329895
20110919	0.08999103914348175	0.108680559000811	0.10331431444240739
20110920	0.07576961859382612	0.1026743120213841	0.14334638198336422
20110921	0.4439510830906397	0.4555440818995904	0.5926075019822278
20110922	0.22738337372866463	0.2767492276999747	0.16202171410148905
20110923	0.3080976667245847	0.3282556749856555	0.4011364177567199
20110924	0.014497782918835552	0.009003277424330056	0.030453993407851064
20110925	0.018477043673012318	0.05543113101903695	0.022572148698447342
20110926	0.42437398009927485	0.47863022579893544	0.3328395047885376
20110927	0.17284104966294678	0.1680133385007453	0.21954720364491412
20110928	0.14007617844400005	0.19870717030190066	0.14796856693940705
20110929	0.43175250967737183	0.43432695521125203	0.30898155503226155
20110930	0.10063435026429447	0.058077150312210654	0.09957766699916701
20111001	0.019287284714226638	0.05451962525623061	0.03319369379638809
20111002	0.024362041467304623	0.013317384370015948	0.015547928608005334
20111003	0.31880452921869873	0.2688693756063603	0.6263829096002109
20111004	1.519839832804082	1.570845407859327	2.800627090112382
20111005	0.3509389667261967	0.37084755360838306	0.9494249842178157
20111006	0.21718515483016906	0.3276980926133024	0.45260059085276316
20111007	0.1334745241736099	0.1540851598817848	0.18282525576575756
20111008	0.008385744234800839	0.0041928721174004195	0.03169822379905867
20111009	0.054618005897205	0.08992178258029204	0.13233425356672285
20111010	0.1786409236465127	0.26209047985978884	0.21845542524692943
20111011	0.46915392598838956	0.44988422994405697	0.82112310897242
20111012	0.2557416402547037	0.4139801423680176	0.8999847496476086
20111013	0.24210858006742159	0.22976797644015928	0.43457628162496176
20111014	0.22913693239869423	0.3375405133668648	0.23477481192306154
20111015	0.1788770773957819	0.15846891413047579	0.4238605397810728
20111016	0.08031234827642014	0.11670577763392134	0.25187948488302586
20111017	0.18818145402271919	0.23312236063744907	0.47459977524617614
20111018	0.5885015562232422	0.6415080359771038	0.9009882449637581
20111019	0.08975363384928935	0.09836601009912391	0.12458308178846078
20111020	0.27841417610749974	0.2425427086457419	0.597093335145728
20111021	0.1881591574127119	0.2655896915968006	0.3796446542669749
20111022	0.22205366511555452	0.43581686071616854	0.13974299957450956
20111023	0.0744910904054652	0.10098849749039143	0.04014482297089944
20111024	0.28262844506134094	0.31202721017710255	0.46406750260263485
20111025	0.12316278853873631	0.13006830893554408	0.19321121949555237
20111026	0.4000416208107194	0.3894912641417087	0.595087318490283
20111027	0.26778270714687236	0.3169929424561176	0.7677414085246481
20111028	0.359028783644901	0.63120411007192	0.1542072097992338
20111029	0.05144564304217225	0.04091932725269857	0.07143575748346978
20111030	0.0650192264091613	0.08130774663693309	0.05510650282444799
20111031	0.16486561172464492	0.1914254114044147	0.15247579089934504
20111101	0.32074349851657386	0.29402630361921156	0.35743082533863324
20111102	0.13241923597460703	0.13392572370239103	0.2719366077321092
20111103	0.17705267528346558	0.22298744817603733	0.22151773305513403
20111104	0.1523507453618414	0.14563191276916349	0.32591714206225714
20111105	0.03585733060106015	0.04804758309665616	0.024247303351065355
20111106	0.0723196881091618	0.10389863547758285	0.06948876051506242
20111107	0.1409481566579146	0.1796969404720242	0.15669774907363698
20111108	0.1830500652546478	0.2732184445842974	0.2701567665883318
20111109	0.1472424387362442	0.16202483209435437	0.231604622138698
20111110	0.2471287131092698	0.23133785867066026	0.39792815434865697
20111111	0.15435572937846564	0.10370893693204677	0.11715287573948767
20111112	0.04453208652892555	0.019798027427547014	0.01588785710904816
20111113	0.04675091652175839	0.05434890958831282	0.05381031494051211
20111114	0.11253868261858695	0.1425395941037662	0.21130039097062048
20111115	0.2290041948215565	0.20076373873656458	0.2644270451030792
20111116	0.21403573512014568	0.1798161431770124	0.2310357327651515
20111117	0.0767954018254309	0.14413630904384894	0.13259211138193536
20111118	0.26529408867863985	0.1567941514295009	0.6832357387993898
20111119	0.016084207600917114	0.009327450844160355	0.012321823662393712
