game games gaming virtual zynga social players play company million 
galaxy device android nexus samsung display screen tablet verizon 4g 
video content tv videos media youtube watch netflix streaming live 
card payments credit payment merchants paypal square cards pay wallet 
customers business businesses companies enterprise marketing customer management platform company 
post blog update techcrunch news weve comment comments times morning 
screen camera video touch real back makes requires pretty works 
features feature users update web browser page version chrome today 
deal company acquisition deals announced services groupon million acquired today 
search based engine results find discovery history means top relevant 
u.s china company europe week international countries uk market london 
startup startups founder founders companies entrepreneurs co-founder program investors angel 
social twitter media network networks linkedin facebook tweets networking klout 
dont im youre doesnt theyre isnt bit thing ive things 
devices android phone phones smartphone nokia market at&t htc device 
health care 3d healthcare medical research doctors systems connect software 
found question report questions research answer review hours point quality 
security service system car account cars access called uber case 
amazon content kindle book publishers digital books fire read reading 
million year top number month months growth 2011 100 growing 
data information big network access path privacy track networks user 
product team design idea company build products experience working building 
microsoft windows tablet tablets hardware pc software hp made devices 
email messages phone service address text users send voice message 
service users cloud box files services storage dropbox file sharing 
internet government act bill public online tax political jobs technology 
mobile web platform devices platforms users device services number today 
buy online sales shopping stores retailers consumers products price purchase 
patent patents case samsung legal court filed companies statement licensing 
app apps android users ios developers store free version user 
facebook friends news users facebooks feed social page content timeline 
google googles search maps product announced major schmidt finally page 
apple iphone ipad apples ios siri 4s ipads iphones cook 
site company month women subscription products launched model home members 
big years lot things place change ago making back part 
million funding capital round raised company ventures investors partners venture 
site users sites user website web content pinterest service create 
developers open source code api support development tools build web 
ads ad advertising brands advertisers brand marketing online media network 
company ceo board yahoo aol team chief executive companys employees 
money great business understand we’re success follow i’m things thing 
music photos photo instagram users spotify share sharing create experience 
disrupt event techcrunch tech san city francisco york conference events 
students job online education school college platform kids learning university 
companies industry technology business consumer world valley innovation tech silicon 
percent million billion quarter year revenue share sales 2011 growth 
world jobs told steve wanted hes work life years back 
friends location local app foursquare users places find restaurants yelp 
space offers travel service free today offering launch launching including 
company public market stock price ipo billion shares companies investors 
