TechCrunch   New York   San Francisco   York   New York City   Startup company   City   Automobile   Hackathon   The New York Times   
Startup company   Investor   Investment   Capital city   Entrepreneur   Victoria Cross   Seed   Venture capital   Angel   Seed money   
Facebook   Computer network   Social network   News   Privacy   Data   Graph (mathematics)   Social networking service   Web feed   Mark Zuckerberg   
Microsoft   Personal computer   Microsoft Windows   Computer software   Computer   Hewlett-Packard   Laptop   Hardware   Tablet computer   Open source   
1000000000 (number)   Revenue   Market   Initial public offering   2011   Stock   Cash   Share (finance)   Investor   2010   
Zynga   Video game   Virtual   Ship naming and launching   Currency   Mobile game   Angry Birds   Mobile phone   Video game developer   Gambling   
Data   Business   Cloud   Computer software   Cloud computing   Management   Server (computing)   Salesforce.com   Information technology   Security   
Advertising   Marketing   Brand   Mass media   Computing platform   Computer network   Analytics   Online and offline   Mobile phone   Monetization   
Startup company   Online and offline   Education   Research   College   Technology   University   Community   Computing platform   Professional   
Mobile phone   Merchant   PayPal   Groupon   Credit (finance)   Credit card   Consumer   Bank   National Football Conference   Mobile payment   
Camera   Bit   Inch   Android (operating system)   Samsung   Galaxy   Battery (electricity)   Hardware   Central processing unit   MacBook   
Web browser   Mobile phone   HTML   HTML5   Website   World Wide Web   Mobile device   Code   Web application   Google Chrome   
Google   Application programming interface   Data   Web search engine   Map   Traffic   Google Maps   Google (verb)   Blog   Image   
Email   Gmail   Online chat   Dropbox (service)   Message   Computer file   SMS   Folder (computing)   Skype   Uploading and downloading   
Technology   Health   Physician   Health care   3D computer graphics   Medicine   Human   Model (person)   Data   Energy   
Retail   Commerce   Online and offline   Electronic commerce   Product (chemistry)   Consumer   EBay   Brand   Product (business)   Model (person)   
Foursquare (website)   Restaurant   Startup company   Bit   South by Southwest   Food   Yelp, Inc.   Editing   Ship naming and launching   Hotel   
Apple Inc.   IPhone   IPad   IOS (Apple)   Apple   IPhone 4   Steve Jobs   Siri Fort   IPod   Macintosh   
Music   Publishing   Digital   Spotify   Subscription business model   Magazine   Industry   Sound   Textbook   Model (person)   
Product (chemistry)   Product (business)   Design   Startup company   Feedback   Consumer   Community   Blog   Ship naming and launching   Behavior   
Application software   Android (operating system)   IOS (Apple)   Mobile phone   Software developer   App Store (iOS)   IPhone   Mobile application development   Uploading and downloading   Computing platform   
Android (operating system)   Smartphone   Mobile phone   Nokia   Market   Microsoft Windows   Windows Phone 7   Tablet computer   Mobile device   BlackBerry   
Video   Television   YouTube   Netflix   Streaming media   Film   Watch   Mass media   Google TV   Online and offline   
Amazon.com   Amazon Kindle   Amazon River   Internet   Fire   Amazons   Government   Politics   Kickstarter   Crowd funding   
Patent   Lawsuit   Samsung   Sony   Technology   Motorola   License   Lawyer   Court   Second   
Chief executive officer   China   Yahoo!   AOL   TechCrunch   Business   Academic conference   Internet   Mergers and acquisitions   Chinese language   
Data   Computer network   AT&T   Mobile, Alabama   Verizon Communications   Wireless   IBM Personal Computer/AT   Internet   Wi-Fi   Mobile phone   
United States   Europe   United Kingdom   Second   London   Japan   Germany   Market   Brazil   Ship naming and launching   
Twitter   Social media   Mass media   News   Blog   LinkedIn   Social network   Tag (metadata)   Tumblr   Real-time computing   
Second   Business   Entrepreneur   Shilling   Innovation   Industry   Silicon Valley   Silicon   Metre   Technology   
