Video   Television   Mass media   Music   YouTube   Streaming media   Digital   Film   Netflix   Internet   
Business   Online and offline   Brand   Consumer   Product (chemistry)   Marketing   Product (business)   Mobile phone   Commerce   Retail   
Application software   Mobile phone   IOS (Apple)   Software developer   Data   Computing platform   App Store (iOS)   Web browser   Uploading and downloading   Android (operating system)   
Startup company   Investor   Entrepreneur   TechCrunch   Investment   New York   Capital city   San Francisco   Business   Chief executive officer   
Facebook   Google   Twitter   Email   News   Computer network   Social network   Blog   Data   LinkedIn   
Facebook   Twitter   Startup company   Online and offline   Google   Internet   Computer network   Design   Mass media   Product (business)   
Android (operating system)   Smartphone   Microsoft   Mobile phone   Microsoft Windows   Samsung   IPhone   Nokia   Tablet computer   Mobile, Alabama   
Application software   Facebook   Startup company   Mobile phone   Data   Android (operating system)   Twitter   Apple Inc.   Business   Google   
1000000000 (number)   Revenue   Chief executive officer   Advertising   United States   Market   China   2011   Second   Zynga   
Apple Inc.   IPhone   IPad   Bit   Patent   Camera   Apple   IPhone 4   Amazon Kindle   Design   
