Consumer   Online and offline   Product (chemistry)   Retail   Commerce   Brand   Merchant   Product (business)   Electronic commerce   PayPal   
Startup company   Investor   Entrepreneur   Investment   Capital city   Chief executive officer   TechCrunch   Silicon Valley   New York   Victoria Cross   
United States   Second   Internet   China   Europe   United Kingdom   Technology   London   City   Automobile   
Google   Patent   TechCrunch   Bit   Blog   Cant (language)   Product (chemistry)   Second   Design   Lawsuit   
Facebook   Twitter   Email   Computer network   News   Social network   Social media   LinkedIn   Gmail   Foursquare (website)   
Data   Business   Computer software   Cloud   Management   Marketing   Product (business)   Cloud computing   Computing platform   Security   
Video   Television   Publishing   Music   Mass media   YouTube   Digital   Streaming media   Netflix   Film   
Apple Inc.   IPhone   IPad   Android (operating system)   Smartphone   Microsoft Windows   Samsung   Microsoft   Hardware   Nokia   
Application software   Mobile phone   Android (operating system)   IOS (Apple)   Software developer   IPhone   App Store (iOS)   Web browser   Computing platform   Uploading and downloading   
1000000000 (number)   Advertising   Revenue   Chief executive officer   Market   Business   Mobile phone   Zynga   Yahoo!   Initial public offering   
