Hosni Mubarak  Gilad Shalit  Salmaan Taseer  Muslim Brotherhood  Egypt  Tahrir Square  Frank G. Wisner  United Russia  Omar Suleiman  Palestinian prisoners in Israel  Israel  Renaissance Party  Palestinian people  Cairo  Mohamed ElBaradei  Christmas  Eid al-Adha  Egyptians  Ante Gotovina  Marouf al-Bakhit  Israelis  Mohamed Hussein Tantawi  Hamas  Gamal Mubarak  Gaza  Wael Ghonim  Protest  West Bank  Government  Military  
0.002766332813672717  0.0027647611938345197  0.002440384044173479  0.0023324547803011404  0.002331563891571834  0.0022851212600781094  0.0022506445197242072  0.0022329088132540453  0.002227259993351229  0.0021723103146493008  0.0021693017508451393  0.002102340781860758  0.0020442744524549646  0.0019891540951320003  0.0019491507349916847  0.0019094300512942231  0.0018990513161079273  0.0018373904401378686  0.0018354069846750363  0.0018063557017507273  0.0017387187594449726  0.0016836270715283555  0.0016655127932215786  0.0016295326208287724  0.0015889950251584137  0.001577947739204228  0.0015520725737833484  0.001501848802164906  0.001494807496568635  0.0014015544690326224  
News of the World  Rebekah Brooks  Rupert Murdoch  Wendi Deng  James Murdoch (media executive)  Andy Coulson  News International phone hacking scandal  News Corporation  Clive Goodman  News International  Paul Stephenson (police officer)  Murder of Milly Dowler  Phone hacking  BSkyB  John Whittingdale  LulzSec  Hacker (computer security)  John Yates (police officer)  Scotland Yard  Tom Watson (golfer)  Chris Bryant  United Kingdom  Tabloid  Scandal  Newspaper  London  Tracy Brookshaw  Editing  Mass media  David Cameron  
1.9112621994800172E-4  1.8323534380939975E-4  1.800820529917904E-4  1.6713800547252133E-4  1.590729346850415E-4  1.4135573189071784E-4  1.3913868229364573E-4  1.2216497941141798E-4  1.2076487827857058E-4  1.1946638247505393E-4  1.1807678320108175E-4  1.1521017483633079E-4  1.1507342527929246E-4  1.0729893330025888E-4  1.0630873400275449E-4  9.813761039226423E-5  9.512319107620193E-5  9.241951186952665E-5  8.992155895483433E-5  8.535176972014712E-5  8.255576294390595E-5  7.90640517915424E-5  7.8353502193299E-5  7.831320441790964E-5  7.614291022910188E-5  7.04396031474164E-5  6.804046364951472E-5  6.665109674450718E-5  6.620744860758626E-5  6.397088612144751E-5  
Lockheed Martin RQ-170 Sentinel  Laurent Gbagbo  United States  Government  Alassane Ouattara  Shilling  Afghanistan  Police  China  George Papandreou  Politics  Antonis Samaras  Economy  Military  True Finns  Election  Pakistan  Russia  President of the United States  Country  Prime minister  President  France  Liam Fox  Europe  Minister (Christianity)  United Nations  News  Haqqani network  Germany  
0.002650904528723662  0.002633024846262863  0.0025858774612000416  0.0025589791986393184  0.0025019501965915956  0.002492013473530059  0.0024840338842479753  0.0023810188350430273  0.002317231069645958  0.0023163889960069713  0.0022614147560254725  0.0022449510067242364  0.0022439653894232537  0.0022226298643755376  0.002220186090847031  0.0022022310235104464  0.002172440362242583  0.0021525153379273374  0.002112328511490658  0.0021018643775436922  0.002030510751775043  0.0020061105318467834  0.0019906365276332804  0.001950886994021164  0.001883605632784819  0.001867434473086481  0.001862044560372269  0.0018284543864084666  0.0017705785411869872  0.0017657338586909948  
Kim Jong-un  Kim Jong-il  Strait of Hormuz  Kim Jong-nam  North Korea  Kim Il-sung  Madame Ngo Dinh Nhu  Vang Pao  Pyongyang  Korea  Korean Central News Agency  South Korea  Rodong Sinmun  Korean language  National Defence Commission of North Korea  Koreans  Seoul  Military  North Korean defectors  List of Prison Break minor characters  Kim Dae-jung  Kim Il (politician)  Mass media  Funeral  Ngo Dinh Diem  Cult of personality  Hyundai Asan  Nuclear weapon  Sovereign state  Laos  
1.314626204081918E-4  1.2441887299138133E-4  1.2415018471681686E-4  1.2354630905720915E-4  1.2239786119281126E-4  1.2204498111207013E-4  1.1828497282310503E-4  1.061702894665267E-4  1.0587902597291876E-4  9.972158901392451E-5  9.508537949417515E-5  9.505770351757186E-5  9.439191644934278E-5  9.369265911576304E-5  9.3556458641224E-5  9.20599638763004E-5  9.153697725951765E-5  9.104617706341084E-5  8.710571045568169E-5  8.549411020907131E-5  8.420563737496368E-5  8.219932612800294E-5  7.921672591958132E-5  7.900079379486466E-5  7.8640522004149E-5  7.752797055992231E-5  7.612042513642861E-5  7.372272715041824E-5  7.268528175823241E-5  7.186433216923418E-5  
No-fly zone  Libya  Jean-Claude Duvalier  Tunisia  Nayef bin Abdul-Aziz Al Saud  Zine El Abidine Ben Ali  Muammar Gaddafi  Bahrain  United States  Government  Tripoli  Tariq Al-Hashimi  Military  Colonel  Libyan Air Force  Iraq  Ra's Lanuf  Rebellion  Iran  Passover  Syria  Security  Benghazi  NATO  Ajdabiya  Arab people  City  Protest  Egypt  Shilling  
0.0041885266414229735  0.003938594058546461  0.0038140316065392744  0.0037742332085448104  0.003755927564462335  0.003693473340033892  0.0035409726641871244  0.003208216282224051  0.003096477955293384  0.0030597905178940342  0.003055700368896682  0.0029407314612241073  0.0028668945737135238  0.0028533981976084566  0.0028007316571909595  0.002735285651800855  0.002727903722686568  0.0026830523952037426  0.0025885359328180584  0.0025039739747943204  0.002442223731347259  0.0024108936540100266  0.002337724838219248  0.0023353875127998256  0.0023313027191394805  0.002316177970069469  0.0022804082483715783  0.002233587703748538  0.0022262745015234485  0.00220315846450726  
Ahmed Wali Karzai  Ilyas Kashmiri  Government  Fazul Abdullah Mohammed  United States  Ramadan  South Sudan  Lazarevo  Shilling  Police  Military  Politics  Afghanistan  Security  Israel  City  Syria  President of the United States  Al-Qaeda  NATO  China  Country  President  Protest  Rebellion  Ratko Mladic  Taliban  Blockade of the Gaza Strip (2007-present)  News  Minister (Christianity)  
